scramble,orientation,2x2x2,2x2x3,EO,block_fr,block_br,co,pll,total_moves
D2 B' F' R U B2 R' U2 R D F' B2 U F2 B' L D U F' B D R D U B',,F' L U' B R F' U2,D' R' D B2,R B' D' B,D2 R D2 R' D' R D2 R',D2 R' D R D' R,D2 L2 B2 L F2 L' B2 L F2 L,D2 L D' B R' B' L' B R B' D' L D2 L' D,54
U D2 B' D2 R2 F' U D' L U L F U' F2 B' R2 D' B' L2 U2 F2 B,,F2 U F' L2 D' L2,D2 B2 D' B',D R' B' D' B,R2 D R' D2 R D2 R',F2 L D L' D' F2,F' R' F L' F' R F L,L' F R' D2 L B' L R2 U2 R2 B L' R D,50
D' B2 F' R' F U L' D' L R' B R' B2 R2 B' U' D L R2 B',,L F' D' F D2 L2,B D2 L B' L2 D' L,B R2 B2 D B,D2 R D R' D R',R' D2 R D R' D2 R,R D R' D R D2 R',L R D2 R' D' R D2 L' D R' D2,49
L' R2 U B D2 B2 U' F' U F R' L2 D' L U L U2 B F2 L' F',,R F' U2 L' B U',B' R2 D B2 R2 B,B R2 B2 D B,F2 R B R' F2 R B',L' D R' D' L D2 R,L' F L B' L' F' L B,D' F2 R D' L D2 R' D L' R2 F2 R2 D F2 D,54
U' F' U' B2 L2 F2 R' B' R2 U' B' L' B2 F2 U2 F U' B2 U R D,,F2 U2 R' F' U L,R B D2 B2 R' B,R' B R' B2 D' B,D R D R2 D' R2,L U2 L' D' L U2 L',D L' D2 L2 D L2 D L2 D2 L',D' F2 U' B2 U' L2 B' U' F U2 B' U F D',55
B' U' L' U L' R' U L2 D R' B2 R' U2 L2 D L' R U2 F' D,,U L D' F L2,D2 R2 D2 B' R' D B',R' B U R2 U' B',D2 R D' R' D R D R',R D2 R' D' R,D' L' D2 L2 D L2 D L2 D2 L',D' L2 D B' F L2 B F' D L2 D' D2,53
L2 D R2 L2 F' R2 L' F2 R' F' R' B2 D R2 L' U' F D' R2 L' B D2 F,,R2 D' U2 L U F L,D2 R B2 D R B2,R2 B' D B,D2 R2 D2 R' D' R D' R2,R2 D R' D R2,R' B' R F' R' B R F,D2 L' R' D2 L R B D' F D2 B' D F',51
F L' R U2 L' U L2 U L' F' U' B' F2 U2 R2 L' F2 U' R2 F2,,D2 L B L' B2 U2,D2 R B2 D2 B',R' B' F D' B F',R D2 R' D' R D R',R2 D' R' D R2,R' B' R F' R' B R F,D' L' F R' D2 L B' L R2 U2 R2 B L' R D2,52
F R2 D2 B' F' D2 R L F U' B R2 U' B2 R D R B2 L' F,,L2 U F' L' D F,B2 R D2 B' R D' B2,R B F' R B' F2 D F',R' D2 R2 D' R' D2 R',F D' F' R2 B' D' B D R2,B' L' F' L B L' F L,D2 B2 D' L R' B2 L' R D' B2 D2 D,57
F' L B2 U' F2 R2 D F R D2 F2 D' F2 D' U2 R' U' F L R B' R U,,R D' F2 L' B' F' U2,D2 R' B2 L' D L B',F' R B' F2 D' B F',B' D R' D R D2 B R',R' D' R D R' D2 R,F' D2 F D F' D F,D' L2 D B' F L2 B F' D L2 D' D,55
F D2 U2 L' F2 B' U R D U2 L D L' R' U' L U2 L' D' L' B' U' B L U2,,F U' B L B' U2,B2 U R' D' R' U',R B F' R B' F2 D F',R D R' D R D R',D R2,D F' D2 B' F D L2 D L2 D' L2 B,B2 L2 D' L2 U B2 U' B2 D B2,51
U F L' F L D F' R U R F L B U2 D2 L2 U' D' F' U2,,L' D' B' L D2 L U',B U2 F' L' F U2,B R' B',B' D' R' D' R D B,R' D2 R D R' D' R,D L' D2 L2 D L2 D L2 D2 L',D' D' F2 U' B2 U' L2 B' U' F U2 B' U F D',55
D' U' B' D2 L D' U F2 U2 R L F2 R' B2 F2 U F D U' L' D' U2 B D',,L R U' B F2 U2 L,L U2 L F' U2 L2,F' R2 F2 D' F',U R' D2 R U',D2 F2 L' U L' U' L2 F2,F' R' B' R F R' B R,D F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,54
U D' R' D B F U' B D R' F' D2 R2 U D2 R2 U2 L' D2 F U F' D2,,B U2 F U L U',U' B' D' U B R2 B,D B' D' B,D2 R D2 R' D2 R D R',D R' D' R2,,D' L' R' D2 L R B D' F D2 B' D F' D2,43
L R' U2 B' U' B' L U2 D F2 U' R D L B D B' R' D2 B2 F2,,U' L U' F2 R' F2,D' B R' B2 D' B2,B R2 B',L U' L' D L U L',D R D R2,,R' D L' D R D2 B R F2 R' B' F2 D L D2,41
R L' B2 U' L F2 B2 R2 B U' D2 R2 B D F2 U R' L F' U2 F,,U L B F2 L2 U',B2 D' R' B2,B' D' B,R2 D' R D R' D' R2,F2 L' U L' U' L2 F2,R' B' R F' R' B R F,F2 U L2 D2 F2 D' F2 D' L2 F2 D2 F2 U' F2 D,50
U2 F2 B' D2 F' D' R2 L' U D R2 U F U' B R2 U2 F' U' B' R F' L' F' R',,B' D2 B L' U2 F,R2 B2 D' B2,R' B' D' B,D R2 D2 R' D' R D' R2,R D' R' D' R,D L2 B2 L F2 L' B2 L F2 L,D F' R F' L2 F R' F' L2 F2 D',48
R2 F2 B R2 D B' L2 U2 R U' L D R2 B' R L2 F2 D' B' D U2 L,,B2 U L B R' F',D2 R' B2 L' D' L B',B' D2 B2 R' B',D' B2 D' L' D L B2,D R' D' R' D' R,L2 B2 L F2 L' B2 L F2 L,R' U F2 L2 U L' B2 L U' L2 F2 U' R D',54
R D' R' F D2 L R B R2 B' L2 D' U B' L F' D' L2 D2 R' B L2,,L' R' U' R' U,R' D F' L U' L' F,B R B',B2 D R' D R D2 B2,L B2 U R U' B2 L',F' R' B' R F R' B R,D2 F2 R D' L D2 R' D L' R2 F2 R2 D F2 D,52
D2 F' D' F D2 U2 L2 D2 F R2 L U' R2 L2 U F L U D' L2 U L U',,F2 U2 L2 B' U',U' B2 U,D' B R B2 D' B,D2 R2 D R D' R2,D R D2 R2 D' R2 D' R',F' R' B' R F R' B R,L D' B R' B' L' B R B' D' L D2 L' D,50
U' L2 F R2 L' F R F L B' L' D U' L' B' F L2 R U2 R',,U' F' D2 L B' U2 L,D' R' D B2,D B' D' B,D' F D' B2 D F' D' B2,R D' R D2 R D2 R,B' L' F' L B L' F L,D2 F' R F' L2 F R' F' L2 F2 D',49
B2 F2 R' F R D B' L2 F2 R' L' F' U2 B2 U2 R B' L' D2 U',,L B' L' F L2,L B L F U F' L2,B R' B',U R' D' R U',R' D2 R D R' D2 R,F D' B' D F' D' B,F2 U B2 U R2 B U F' U2 B U' F' D' D,48
R L B' R' U2 F2 U' F' U2 F' U2 R2 D' F2 R2 U' F' D2 B' D2 U2 B' F,,D2 U B' D' R2 U' L,B' D R' B2 R D2 B',R2 B R' B2 D' B,D2 R' D' R',R' D' R D R' D' R,B' D F D' B D F',D B2 D' L R' B2 L' R D' B2 D2 D,50
F2 R2 U' L2 R' B2 U R' B D2 U2 F L D2 U2 R' F U2 F2 B' R' L' B F',,R B2 U2 B U L F',R2 U R' U' B2 R2 B2,B' D2 B2 R' B',D' R D R',D R D R2,B D' F' D B' D' F,B2 D' L R' B2 L' R D' B2 D2 D',45
B U2 D2 B R U2 D R U2 B2 R2 B2 F' R' L D2 R' F U' L2 U L' D' U' F,,D' L2 F R2 D B' U',R B2 U R U',F' R2 F2 D F',R2 D2 R2 D' R2 D2 R',D' L' D R' D' L R,D F' D2 B' F D L2 D L2 D' L2 B,D F2 U B2 U R2 B U F' U2 B U' F' D' D',58
D2 R2 F D R2 D2 F2 U2 L' B2 L' B R U' L2 B' R2 L' F2 U B F' D2,,U F L' B2 L D2 F,U' L2 D2 L2 B' U,D B R B',D' F D' B2 D F' D' B2,D' R D' R2 D' R,D F' D2 B' F D L2 D L2 D' L2 B,D' L' F R' D2 L B' L R2 U2 R2 B L' R D',58
L' R' U B L2 B R2 U2 D2 R L' U' R D L U2 R U D' B U' L2 D' R2,,B2 R2 D2 U F,B R' U' B U,F' R B' F2 D' B F',R D' R' D2 R D2 R',R2 U L' F2 L U',F' D B D' F D B',L D' B R' B' L' B R B' D' L D2 L',50
F B' D' U B2 D' L' U R' L' B2 L2 B R L B' U2 F L' R2 U2 L' U D2,,D' F2 D' R' U' F2,R' B R2 B D2 B',B R2 B',R D' R' D R' D' R2,D' R' D2 R D R' D' R,F D' B' D F' D' B,R2 B2 U2 L2 B' F' U2 R2 B' F' D',48
U F2 U' F' B' R U' D2 R' B L2 R D U2 F' R2 B U2 D2 R2 U2 L' R,,F2 L D U B' F U',B D' R B2 D' B2,B' D2 B2 R' B',U R' D2 R U',D' R' D2 L' D R D' L,D L2 B2 L F2 L' B2 L F2 L,D2 L2 D B' F L2 B F' D L2 D',52
D' B' L' D L2 B' F' U F' U B' L' D2 U' L2 U' L' D R' F2 B R2 D R' F2,,R2 D' L',B' R2 D B' D2 R' D B',B' D B2 R B',R D R' D' R D R',R2 D2 R' D2 R,R' B R F' R' B' R F,D F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,51
B2 U2 L2 B2 R U2 R L2 F' U2 L2 D' F2 R2 B L2 D L F B2 D B D2 R,,F' R' D F' L' U,L R B L2 D' L,D R' B' D' B,D R2 D2 R' D' R',L' D R' D' L R,D' L' D2 L2 D L2 D L2 D2 L',D B2 L2 D' L2 U B2 U' B2 D B2 D,51
F2 R2 L2 F2 B2 R B' L' F' L B L2 R D' U2 R' L' F' B2 L' U2 F2,,F' L2 D2 U' B' U',R2 D2 R D' B2,B' D B2 R' B',B2 D' R B2 R' D B2,D R2 D2 R D R' D R2,L' D2 L2 D L2 D L2 D2 L',D B2 L2 D' L2 U B2 U' B2 D B2,51
F B U' B U L2 B' D2 U2 L D L' R B U' R F2 B2 D F2 D L2 B2 U2 B,,U2 L2 F L B' F2 L2 U',B2 U' B' U,F D' F',D' R' D2 R2 D R2 D R,D2 R D' R' D' R,D L2 B2 L F2 L' B2 L F2 L,D B' L B L' R' B L R' B L' B' R2 D',53
U2 R U D F U F' B' U D2 L2 B F2 D2 B L' R2 U' D' F,,B2 D R B R2 U' F2,R' D2 U' F L F' U,F' R2 F2 D F',B2 L U' L U L2 B2,R2 D' R D R,D L' D2 L2 D L2 D L2 D2 L',D L2 D B' F L2 B F' D L2 D' D2,53
R2 U' F' B L U' R B L R2 B L B R B' R' D' L' U' B,,U L U2 B D F,R2 B D2 B2 R' B,F' R F2 D F',R' D R D2 R2,D' B' D F2 D' B D F2,B D' F' D B' D' F,L' R' D2 L R B D' F D2 B' D F' D2,50
L2 U2 B' F' L' R' D2 R U' L2 U2 R2 F2 U2 D' B D U2 R' F' R',,F2 U L U B' L' U',D2 R B' R2 B2,F' R B' F D' B,R2 D2 R' D2 R2,R' D2 R D2 R' D2 R,B D' F' D B' D' F,R' D L' D R D2 B R F2 R' B' F2 D L D,52
D R' B' F R' D B' U2 L2 B R2 F2 L' F2 D2 L F D2 R' F2 D2 F,,R D L D2 F2,R D R2 B,B' F D B F',L D' R D L' D2 R',R' D R D2 R' D2 R,D2 L2 B2 L F2 L' B2 L F2 L,R' D L' D R D2 B R F2 R' B' F2 D L,52
B2 U2 F L' F' R2 L2 D2 F2 D' L2 U' D B L D U2 F D L' B2 L',,U L' D U' L2 U F,D2 B' D' B2 R' B,D2 B R' B',D' R D' R2 D2 R',D2 R' D2 R D2 R' D2 R,F' D B D' F D B',D' L2 D B' F L2 B F' D L2 D' D,50
D2 R2 B F U F' R U D2 R D L2 D' R' L2 U' B' L2 D2 F',,B F' D2 L2 U' F',D' R' B2 D' R B2,B' D2 B,D2 R D2 R',D R D R2,B D2 B' D' B D' B',D B' L B L' R' B L R' B L' B' R2,43
F' R2 B L U B U F D' F' D2 U2 L U D2 L F L D2 U' R2 F2 U',,U2 L U F L,D2 R' U R U',R2 B' D B,D R2 D' R' D R',R' D R D2 R' D2 R,L' F' L B' L' F L B,D' L' R' D2 L R B D' F D2 B' D F' D2,49
U' R D' U R' F2 B R' D R D2 F' U2 L2 B' L' F' B2 U' D R L2 D R',,B D U2 B' D' L U',L' B' D B L R D2 B',B' D2 B2 R' B',D2 R D R',R2 D' R2 D' R,D L2 B2 L F2 L' B2 L F2 L,B2 L2 D' L2 U B2 U' B2 D B2 D,50
D2 R2 F' L2 U2 F2 U L2 R D' B L2 U' B2 F2 D2 L D2 L U R2 D' F' R2 F,,F' D2 L' R2 B' L2,R2 B' D R B2,B' D2 B2 R B',R2 D' R D R',D' R' D2 L' D R D' L,F' R' F L' F' R F L,D2,38
B' U B' L D' F2 L B' F2 D L2 U2 L U' F' L2 U R' F U B2 R D,,B' D' F D2 L U' L2,B2 D B R B2,F' U' R2 U F,R' B2 R D2 R2 D2 R' B2,B U R' D R D' U' B',F' D B D' F D B',D' L' F R' D2 L B' L R2 U2 R2 B L' R D',55
D2 U2 F B U R2 U F R' U2 B F2 L F2 L U2 F2 U B' L2 F U' R' D',,F2 U2 L' B' F' U',R U F' U L' F U2,D2 B R' B',D' U L' F2 L U',L' D R' D' L D2 R,D F' D2 B' F D L2 D L2 D' L2 B,B2 D' L R' B2 L' R D' B2 D2 D',53
F2 B D' R' F' D L2 B D2 B' L2 B2 U' D' F' L' F2 D2 L2 B' R' B2,,U2 R U' B2 U',R2 D R' B D B',D2 B R2 B',F' D B' D' F D B,D2 R,L' D2 L2 D L2 D L2 D2 L',D' R2 F2 R B R' F2 R B' R D2 D2,45
L2 R' B2 D R' D' R' L B R' B' D L' R B U D B2 L B2 U2 F' B2,,U F U' F2 R U,L2 U F2 U' L2,R' B' F D' B F',D2 R D' R2 D R',B' D F2 D' B D F2,F' R' B' R F R' B R,D' R' D L' D R D2 B R F2 R' B' F2 D L D',54
R' D L R F' L R F2 B D U2 B D U' R2 U' D2 F2 R' D' F2 U2 F' B,,R2 U2 L' B' U' L,B R B2 R D B',D B' D' B,D R' D2 R2 D R2 D R,R' D2 R' D' R,L' F L B' L' F' L B,L2 D B' F L2 B F' D L2 D' D2,48
U2 L B2 L B2 R L2 U B2 L R2 D2 L R F' L2 D' R' B L2 B2 U L2,,B U' F2 R' F L F,R2 B D2 R' B,D B R2 B2 D B,R D2 R',D R,R D R' D R D2 R',D' L D' B R' B' L' B R B' D' L D2 L' D2,45
R2 L' D' B2 R L U' R' B' L' D B2 U' B2 D F2 U' F B D' L' B2 R2,,R' B U' B R' F',D2 B' D' B' U R U',F' R' F,D F2 L' F2 R2 F2 L F2,D' R' D2 R D R' D' R,,D,33
F2 R' D2 L2 D' F2 D L' U' D L2 B L' U2 F R2 F2 D B' D2,,L' U' F2 D B' L F,U' B U' L' F2 L U2,F' U' R2 U F,D2 R' D' R' D2 R',D2 R' D2 L' D R D' L,D L' D2 L2 D L2 D L2 D2 L',D F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D,59
F L U R U2 B' R L F' B' U2 D R F' R' L F U D2 L2,,F2 L' D' B' F2 U',D' B2 R' B R B2,U L' F L U',R' D' R' D R' D' R2,R' D2 R D2 R' D' R,F' R' B' R F R' B R,L' F R' D2 L B' L R2 U2 R2 B L' R D',53
U' B2 D L' B' F2 L' R' U B' F' U' R' U2 D R L2 F2 D2 U,,R2 F R D' U L',R' B L' D' L,D B R2 B2 D B,D2 R2 U R' D2 R U',L' D R' D' L D2 R,D' L2 B2 L F2 L' B2 L F2 L,D F' R F' L2 F R' F' L2 F2,51
F B' D' U2 R2 L D R B' F R L2 F U2 D L' R D2 B U' R D B' F R,,U2 R' D2 L' U,R' D R B D B',D' F' R B' F2 D' B F',D' R D2 R' D2 R D2 R',R' D' R D' R' D2 R2,R D R' D R D2 R',D F' R F' L2 F R' F' L2 F2 D,52
F2 B L R' B F2 U2 B D F2 B U R B R B2 F U R' F2 D' U R2,,F2 L' B D2 L F,R2 B L' D2 R D L,B R' B',D2 R D R' D' R2,,,D B2 D' L R' B2 L' R D' B2 D2 D',34
F2 R' L2 F B U' R' F2 B U' F' L F L D2 F2 D F2 D' L2 F' L U2,,F U2 L2 R' D' L',R2 U R U' B,B R' B',D L D' R D L' R',D' R' D2 R2 D' R,F' R' F L' F' R F L,D L R D2 R' D' R D2 L' D R' D2,47
D2 F' B2 R2 F' R2 F L' R D' L B L2 R2 B F' L' D2 R2 B2 F2,,B' U2 R U L U,F' R F U R U',B R B',D2 R2 D R',D R' D2 R,,D2 F2 R D' L D2 R' D L' R2 F2 R2 D F2 D',38
U' B' U2 F2 U L' F U2 R2 L2 F' D2 B F2 U D B2 R D' F2 B' U,,B' D L U F L F,R2 B D' R2 D2 B',B F' R B' F,D R D2 R' D R',D B' D F2 D' B D F2,D L2 B2 L F2 L' B2 L F2 L,D R' D L' D R D2 B R F2 R' B' F2 D L D2,58
U2 D' R U2 F' D2 F' U F2 B D2 R U2 R' B2 F R U B L U' D' B' U' R2,,R' F' U L B2 U2,B2 L2 F U F' L2,D2 B R B2 D' B,D2 B2 L' D' L D B2,U R' D' R U' R',B' L' F' L B L' F L,D' F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,54
F R' D B2 L2 U R' B D F2 L D2 U2 F U2 B' D2 U' B2 U' D2,,D2 L U' F' U2 B' U2,R' U' B2 U2 R' U' B,R' B R' B2 D' B,D R',D' R D2 R2 D' R2 D' R',D2 L2 B2 L F2 L' B2 L F2 L,D2 B2 L2 D' L2 U B2 U' B2 D B2 D',52
F D2 R2 U D' R L2 U D R2 U' R2 U2 B' L F2 R' F R2 U2 B' F,,D L' D2 F U L,D' R2 B D2 R B2,R B' F D' B F',R2 D' R' D2 R',D' F2 L' U L' U' L2 F2,F' R' F L' F' R F L,R2 F2 R B R' F2 R B' R D2 D,50
B' L2 B2 D L2 D' F' L2 U' R' D' B2 U' B D' B2 F2 D2 R D2 R2 D2 R' F2 L',,F D B2 L U' F',R2 D2 R' D2 B' D' B',D B' D' B,R D2 R D R' D' R2,D R' D R D' R' D' R,,R2 B' D2 B2 R2 F' U2 F2 U2 R2 B' D2 R2 F2 D2,47
L' U F2 L' U B R2 B2 R' F' D' F' B2 R' B U2 F R2 F D2 U2,,B' F' D' L F2 U',B' R2 D B D' B2,F D2 F2 R F,D2 R2 D' R2,L B2 U R' U' B2 L',B' L' B R' B' L B R,F' R F' L2 F R' F' L2 F2 D,46
F2 B2 R2 F2 D2 F2 R' F R' B2 D U2 L2 R' B D' U R' L F' L2 D' R2,,F2 U B L' R2 U' L,R2 D2 B D' B R' B2,B' D2 B2 R B',R D2 R' D' R D R',R D2 R D' R,R' B' R F' R' B R F,D F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D2,55
L2 B2 L' B' U2 R U2 F' R2 F B' D' F' U2 F U B2 D L' F2 U,,U' R2 D2 F2 L U' L',D' R2 B2 D' B',B R2 B',D' R' D' R2 D R',R' D' R D' R' D' R,D F' D2 B' F D L2 D L2 D' L2 B,D' D' F2 U' B2 U' L2 B' U' F U2 B' U F D2,55
R D2 U B2 F' D' L U' D2 R L2 B2 F L F2 B2 L' R' D' F' R F' U' F' L,,L R B R2 F' L,B2 R D2 B2 D' B2,F D' F2 R' F,R' B2 R D2 R2 D2 R' B2,B' D F2 D' B D F2,D' L' D2 L2 D L2 D L2 D2 L',B' L B L' R' B L R' B L' B' R2 D',55
D2 F U B2 R' L' D' R' L D' U R2 U' D2 L2 D2 F2 R F R' B' D',,B F2 R' F U L',D B U R U2 B2 U,F' R2 F2 D' F',D' R2 D2 R' D' R D' R2,U' R D R' U,R' B R F' R' B' R F,D L' F R' D2 L B' L R2 U2 R2 B L' R D2,54
L2 F U2 L U2 L2 D2 R' B2 F D2 F L' D2 R2 L' F' B R2 L' F U2 L' R F,,L' F D2 L2 B' L,D' R' B2 D' B2,D B R B',D R2 D R' D' R2,R' D' R D R' D' R,D2 L2 B2 L F2 L' B2 L F2 L,D R' D L' D R D2 B R F2 R' B' F2 D L,53
U' R2 D2 U L' F U' F L R U F2 D2 B' L' U2 R F' D2 F' B L U2 D',,L D' B2 U' F' L',R D R B2 R2 B,B R B',D B' F D2 B F',D2 R' D2 R D R' D' R,D2 L2 B2 L F2 L' B2 L F2 L,D D' F2 U' B2 U' L2 B' U' F U2 B' U F,53
L' D R L U' B' R2 F2 U L R F D' U2 F2 U' F' D' R2 U' F D,,B2 L B' U L U,R B' R B2,R' B R' B2 D' B,D R D R',L' D R' D' L D2 R,F' D2 F D F' D F,F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D,49
R' F U2 D2 L U F' U D' R' U L U2 R' F B U L D' F' B',,U' F L2 U L2,B2 D' B D2 R' D2 B2,B R' B',R D' R D2 R',D' F2 L' U L' U' L2 F2,F' R' F L' F' R F L,R2 B' D2 B2 R2 F' U2 F2 U2 R2 B' D2 R2 F2 D',51
R' F2 L2 D2 B2 R' F U' B' D B F U2 L F' D' L B L B' F2 R' B F,,B' D' R2 F L' D' F,L U2 R U' B2 U' B L',R B' D' B,R2 D2 R' D R' D' R2,B U R' D R D' U' B',D L' D2 L2 D L2 D L2 D2 L',D2 D' B2 U' L2 D L2 B2 U R2 D' R2 D2,57
D' B D' F' B2 U2 L' U' D R' L U R' B2 U2 R2 L U B2 L2 D' F,,F' D' L' B' D F,D2 R B2 D2 B',B R' B2 F D' B F',R' U R' D2 R U',D L' D R' D' L D2 R,D' L2 B2 L F2 L' B2 L F2 L,L' R' D2 L R B D' F D2 B' D F',54
D' L2 D' L2 F' U2 L2 D2 L D B D' B2 R' F D B' U' R2 F2 U' B,,L' D' L' F D' L2,L' R D' R D2 L,B R' B2 D' B,D' R2 D2 R' D' R D' R2,D R' D' R2,F D' B' D F' D' B,D' R' D L' D R D2 B R F2 R' B' F2 D L D',52
F U' D' R2 L' U2 D2 L D' F2 L U R L2 B L' R2 B2 D B2 U' D,,U' L2 B2 R F L' F,B' L' F' D2 F L,D B' D' B,R2,D' F2 L' U L' U' L2 F2,R D R' D R D2 R',D2 F2 U F' D' B D2 F' D B' D' F2 L2 U' F2,48
D2 L2 B R2 B2 U' B U D2 F' L B U' R D' U2 B' D R2 D2,,D2 U' R' U' L F' U',R B2 D2 B R B2,R' B' D' B,D U R' D' R U',D' R' D2 L' D R D' L,R D R' D R D2 R',D B' L B L' R' B L R' B L' B' R2,51
B' L2 B D' F2 U B2 L' U' B' L2 B2 F U' L D F2 U R2 B2 F2 L D2,,L' B2 L D2 F,D2 R D B2 R' B,B R2 B2 D B,R D R' D' R D2 R',R D R,F' D2 B' F D L2 D L2 D' L2 B,B' L B L' R' B L R' B L' B' R2 D2,50
