scramble,orientation,cross,pair_fr,pair_bl,pair_fl,pair_br,oll,pll,total_moves
R' F2 R2 D' U F' D2 F' U B L' F2 L' B' F2 U L' B' U' F',x2,L U' B D2 B,D' B' U' B D,R2 U' R2 U' R2 U2 R2,F' L U' F' L' F2,B U2 B2 U' B,U' L U2 F' L' U' L U F2 U2 F' L',U L' R' U2 L R F U' B U2 F' U B' U2,54
F2 R2 F' U' D2 F B L R2 U B2 D B R L2 D2 L2 B R' F2 U L D U2,x2,U2 L' B2 D' L' D,U F U F',R' F R' F' R2,B U2 B' R U R',B U B2 L' B' L B,R' U' R U' R' U2 R,U,36
U L2 B2 F' D F R2 D2 F2 L' U D2 B F' U2 B' U R U2 D2 B2 F' R F',x2,B' D' L' F' R' B,D' L' U' L D,B L F U' F' L' B',U' F D2 B D2 F',R' U' L U' R U' L',U L' U2 L2 F' L' F L' U2 L,R2 B2 R F R' B2 R F' R U2,51
R' D2 L2 D2 U2 L2 D2 F U L2 D' U B' L2 B' F' D' U L2 R' U D',x2,D L F2 L B R,L2 D' L U' L' D L2,D L U L' D',F L2 F' L2 F',D F U' F' D',U B' U2 B2 U B2 U B2 U2 B',B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U',53
D2 L U2 R2 L B D2 F2 U2 R L' B2 L2 B' D F2 U B' F D2 B L2,x2,D2 B' F L' D' L2,U F L U L' U' F',D L U' L' D',B' D2 F2 D2 B,B' U2 R' U' R U' B,F R' F' R U2 F2 L F L' F,U B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,56
B R' L' U' F' R2 L' B F R' D L' U2 D B U B2 D2 F' U' B L' R' D2,x2,U' L' B2 R',F U2 R2 F R2 F2,U' R' U' R,F' U F,R2 B2 R' B2 R',F' U2 F2 U F' U F U2 R' F' R,U2 R2 B2 R F R' B2 R F' R U2 U',45
L' U2 L2 R' D' B' U' F2 L' F' B2 D' L' F2 U2 D F2 B D' R2 D' L2 U D',x2,B' F L F R B,L' U2 B' U' B2 L' B' L2,U R' U2 R,F' R' U2 R U' F,D' R B2 R' B2 D,U F' U' L2 D' L U L' D L2 F,U L' B R' U2 L F' L R2 D2 R2 F L' R U,56
R U L R B' D' B R' D U' F' D' F2 R U' B2 R2 F R2 U,x2,L' U F R' D' B,B D' L U' L' D B',R2 U2 B' R' B U2 R2,U2 R U R',U L2 B L2 B',U2 F R U R' U' R U R' U' F',U' R' U L' U R U2 F R B2 R' F' B2 U L U2,56
R2 L' F R' U2 D2 L2 F' U' F D' B L B2 D R' U2 L' R D' L' F R2,x2,L D B L' F' D',R2 F2 R F2 R,B2 R' U2 R U2 B2,U2 B' U R2 B R2,B2 R' F R' F' R2 B U2 B,U2 B L F U2 F' U L' B' R' U2 R,U2 L' B R' U2 L F' L R2 D2 R2 F L' R U,59
D R' L2 D' U' L F2 U2 D R B L F D' F' D2 U F' U2 L U2 D' L',x2,B' F R' D' B2 L',F L F2 L' F',B2 U2 R B' R' U2 B2,D' R U' R' D,B' R U' B' R' B2,L' B' U' B2 U B' L B U' B',B2 D F2 D R2 F D B' D2 F D' B' U' U,53
F R B2 L' D2 U2 F L R2 F B R' F2 R' B D2 F D' R' L2 B2 L,x2,B' R D L' D2 L2,F2 U2 L U2 L' F2,B' L' B' L B,F U2 F' L' U2 L,B U B' U R' U' R,U' L' U' L B L' B' U B L B',B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,56
D' R' F2 D' R U D2 R F R U R U' R' D L B U' D2 L2 F',x2,L D' F' R' B F2,U2 R2 D R' U R D' R2,U' B' U' B,U2 F U F',R' B' R2 B U' R,U F R2 B2 R' B R' F' U2 R B R',U U' F2 D' L2 U L2 F2 D R2 U' R2,52
B' U' R D R' B2 F D2 U2 R' D2 U L D B' F' R F' R' B D2 R U2 F,x2,L D' B' R F' L',F' U2 F,R U' R' B' U' B,B' D2 F' D2 B,R' U2 R' U2 B' R' B U2 R2,F' U2 F2 U F' U F U2 R' F' R,U U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,55
F R B D B R' L D' B' U B F2 L' B' R2 U R2 L2 D2 B' L' U F2 L',x2,L R' F' D L',B' U F' U2 B U2 F,B' U R' U R2 B' R' B2,L' B' U2 B U' L,R' B' U' B U R,U2 F2 B' R F' R B U2 B' R F' B,U U' B2 D' F2 D' L2 F' D' B D2 F' D B,58
R L' F D' L2 R' U B2 R L U F' D2 R' D' L' F2 B2 R' L B D R,x2,B2 L' D' L R',U2 F' U' F,U2 B2 U' B' U B2,B' D2 F D2 B,B L U2 L' U B',U F R2 B2 R' B R' F' U2 R B R',U U' F2 D' L2 U L2 F2 D R2 U' R2 U,51
L U' L2 U D L' R2 D U' R' B U' R2 F' R2 D L U D' L' B' R' D2 U' F2,x2,D2 L2 R' B' R D',R U2 R' U F' U' F,F D2 B D2 F',F' U F2 L F2 L' F',U2 R2 B' R2 B,U F2 D' B L2 B' D F U2 F,U B' R B' L2 B R' B' L2 B2 U',51
R2 L F2 D L2 R2 F2 B L2 D' L2 B' L D2 L' D2 F L2 F R',x2,R' U' B2 L' R2,R U B' R B R2,L U R' U' L' R,L' R' U' R U2 L,R' F R' F' R2,B U L U' L' B',L' B R' U2 L F' L R2 D2 R2 F L' R,47
F D' F2 B L R' F2 D R' L2 F' R' U2 R2 B' D' R' B2 U' L',x2,F R' F2 L U' B2,F' U B U B' F,U2 R B2 R' B2,U2 F R' U R F',R2 U2 R U R' U R2,U2 L F' U' F2 U' F2 U2 F U' L',U' U' F2 D' L2 U L2 F2 D R2 U' R2,53
D2 F' U B' U' F2 L B2 F' U' L2 B' D U2 F2 R D F2 L' R D2 R,x2,B' D' U2 L F' D' R,L F' L' U2 F,U2 F' L2 F L2,F U2 F R2 B' R' B R' F2,B U2 B',F U2 F' U' F U' F',U2 L U' F R' F' L' F R F' U' L U2 L' U2,51
U B R2 B R' L D2 F B D U' B' L2 U2 D L R B L R2,x2,B R' F L' D B,R2 D B2 D' R2,L F U F' U L',U L' U2 L,B' D' U' R D B,B' U' B U F' B L' B' L F,U2 B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',52
B' R2 U L' R2 U' L2 R' U' L' F' B' D' L F2 B L2 R D' L D U F,x2,L U L2 B' R F,B2 R2 B R2 B,R' U R B' U2 B,B L' U' L B',U2 B L F U' F' L' B',F' L2 F2 U2 F' L' F U2 F2 L2 F,U L U' F R' F' L' F R F' U' L U2 L',55
L' U B R2 L B F U2 D' R' U R2 U' L2 B2 F' R2 D' B2 R' B D B2 D F',x2,U L2 U R2 F,B' R B U2 R',D2 B' U' B D2,L2 U L' U' L2,F' L2 B2 L B2 L F,U2 F' U' F U F R' F' R,U' L' U2 L F R U' R' U' F' U' L F' L' F U2,52
L' U2 R' L' B' D' L' U2 B2 F' L F L' B' R2 F' D L' R2 U2 R B R F,x2,F' L B D' B2 F',F R2 F' R2,B' R' U' R U' B,U2 B' F U' B F',R' U' R,U B' R' U' R U R' U' R U B,U' R' U L' U R U2 F R B2 R' F' B2 U L U2,52
L' F U2 D2 B2 L' F2 D U2 L2 U F L R' F' R' F L2 F U,x2,D2 L' R B,B' R U2 R B R2,U L U' F U2 F' U2 L',L' F' U' F U L,R' B' U2 B U R,U' F U R2 D R' U' R D' R2 F',U F' L F L' R' F L R' F L' F' R2 U2,55
D2 F2 B' L B2 F2 L' R U R2 B U2 F2 U D2 R2 L U2 D' F2 D' R U',x2,D2 F L D L' R,B U' B2 R B U2 R',B U' B' L U L',B U2 L2 B' L2,L F2 D R' D' F2 L',U2 B' R' U' R U R' U' R U B,U' U' F2 D' L2 U L2 F2 D R2 U' R2 U,55
L U' B D2 F R' D2 F' U' R' L B2 R' F' U' B L F' B2 D2 R',x2,L' D2 B F,F' R' U' R U F,U2 L U L',U2 F U F',D B' U' B D',L U F U' F' L',U R2 B2 R F R' B2 R F' R U2 U',41
R2 L' D2 U F L2 R2 F B' R U2 R D F' L2 U' L U' B2 R D',x2,L D L' B R D,U2 R U R',L U2 R' U' R U' L',F L F2 L' F',R' F' U2 F R,L F R F' L2 F U R' U' F' L,L2 U F' B L2 F B' U L2 U' U2,49
L D B2 R' D2 L F D' B U D' R2 D R' D B2 D2 U L2 U2 F B,x2,L D2 B D R' F2,F R B' R' F' R2 B R2,L U2 L' U B' U' B,F U2 F',R' B' U B R,F' U2 R' U' R2 B' R' B2 U' F B',L R U2 R' U' R U2 L' U R' U2,51
U L' U2 L' D2 L' D B' U' L D2 U R F2 L2 B2 R' F U' F2 R' B L',x2,L R B' F R2 D,R F R' U2 F' R',B' L' B2 L B,B D' B' U2 B D B',R' U' F R' F' R2,L F R F' L2 F U R' U' F' L,U' L' R' U2 L R F U' B U2 F' U B' U2,55
R U' F B' D2 L F2 D B2 D' B2 U B' D2 F' D' U2 R U' D F,x2,D' B' F L' B2 D,R2 B2 R' B U2 R' B,B' U B,L U L2 U2 L,R2 U' F' U F R2,L F R' F R F2 L',U' U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,49
L2 D' F B' U B' U2 D' F R2 D' R2 D2 U' B' U2 B' F2 D2 B' D',x2,U2 F2 D' B D B,D2 L U' L' D2,L U2 L' U B' U' B,D' B' U2 B D,D B' U B D',B' R' U' R U R' U' R U B,B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U,53
D2 F' L2 F B2 D' B L F B2 L F2 L2 B' U' F' L B' D' U',x2,U R2 B' L' D' L,F' L F' L' F2,B2 L' B2 L,B U B' L' U' L,R2 U' R U' R' U2 R2,U' F' U' F U F R' F' R,B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,52
R' F2 U' L B' R2 L F2 U2 L' R' F2 B' U' D R2 B2 F' L B D' R' B',x2,R' B2 F D B2,L' U L2 F2 L' F2,B' U L' B' L U B,F R U2 R' F',R' F' U2 F U' R,F' U' F U F R' F' R,U' L' B R' U2 L F' L R2 D2 R2 F L' R U2,52
B2 R' B2 L' F2 D2 B2 F' U' B' D2 U' F2 R' F2 R' B' D' R' L2 B2 F,x2,L B D F2 R B2,R U2 R' U F' U' F,U2 L U' L',L U2 L2 U' L,D B' U2 B D',F B' U R U' R' F' U' B,U L' U2 L F R U' R' U' F' U' L F' L' F U,52
D2 R2 D' U F2 L2 R F' B2 D' L B' R2 F B D2 F U2 R2 D U2 B' L2 U2,x2,D L2 D' B R F',B' U2 B F' U2 F,L2 U L U' L2,F U2 R' U2 R F',U2 R2 D' R U' R' D R2,F R' F' R U2 F2 L F L' F,U' F2 L2 U' L2 D F2 D' F2 U F2,52
F' L' D' L R F2 B U F2 R U2 R2 D L2 B R B2 R2 L D2,x2,L R B' D B F' D,B' F' U' B U2 F,L R' U' L' R,D2 R2 F2 R F2 R D2,R' B' R' U' R U B R,U' F' U' F U F R' F' R,U L' B R' U2 L F' L R2 D2 R2 F L' R,56
D' R F2 U B2 F U D R' F U' D R2 F B D' F' B2 D R D' U2 B D R,x2,F D2 R' B' F,U' R' U2 R2 U R',U' R' B' U' B R,B' F U2 B U' F',B U2 L U' L' U B',U2 F R U R' U' R U R' U' F',F' L F L' R' F L R' F L' F' R2 U2,54
F R L D2 L' U B' L' F' L' F D' B' R' U' D' L2 U2 B2 L2 R B L' F,x2,F2 D' L2 B L' R,B F' U B' F,L U2 F U2 F' U L',U L' U2 L,U B R B' R' B',U B' R B R' U2 B2 L' B' L B',U B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',55
F2 B2 D U2 F' U2 D2 R' F B2 D2 R U2 D2 L' B2 F U2 B2 F D',x2,F2 D L B L2 D',F' U' F,U' B' U B,R U2 R2 F2 R F2,R' U B' R2 B R,U' L F' L' U' L U F U' L',U2 B' R B' L2 B R' B' L2 B2 U',46
D2 U L2 B' R' L U2 B' U F D F' D2 F' U L F2 B2 R F R' F' L,x2,L B L' D' F L,R2 B' R' B U2 R',B' U2 L' B' L B,L' U2 L2 F' L' F,R' U' R U2 B U B',L F R' F R F2 L',U' U' F2 D' L2 U L2 F2 D R2 U' R2 U2,51
R' U B' U' F' U2 F' R F' B2 U' F' D2 F' D F' R D U' B L F2 R2,x2,U2 L U' B F' L' D,D' F' U' F D,B2 U' B U' B' U2 B2,U' B L2 B' L2,B' L' B L B2 U B',U2 R' F' R B R' U' F U R B',U' B2 D' F2 D' L2 F' D' B D2 F' D B U,56
B2 L' B2 L2 F2 R' D L U B2 U2 F L D U2 R' L2 D2 F U' F B2 D' R',x2,D' F' D L2 F,D' F' U' F2 U2 F' D,U' B' F U B F',R' U' R F U F',U' B U2 B' U' B U B',R' U' F' U F' L F L' F R,R2 F2 D2 L2 F' B' D2 R2 F' B' U2,53
U' L' R2 F' B2 L' B2 U' F' L U2 D2 R2 B' U2 L' R2 F2 D' B' U D B,x2,D R B' F' D L',B U B' F' U' F,L U2 L' B' U' B,U2 F2 U F U' F2,B' R B R',U2 F2 D' B L B' D F L' U' L F,U' U' B2 D' F2 D' L2 F' D' B D2 F' D B,54
U B2 D2 U2 L2 R2 B F2 R B2 F R2 U' F' R' F B R2 B F2 R2 U' D R2,x2,B2 F' R' F' D2,D2 L U2 L' D2,R B2 R' B U2 B,L2 U' B' U B L2,R' U' F' U F U' R,U2 F U R2 D R' U' R D' R2 F',U2 F2 U' L R' F2 L' R U' F2 U2,51
B' L R2 U' F' L2 U L2 F L' R' U R D' F L2 R' B' L2 B2 R B R2 F' U,x2,U' R2 F D L' D,U' R U R',D' B' U' B D,F2 D R D' F' U F',U2 B U2 B2 R B R',U F' U B L U L' U' F B',F' L F L' R' F L R' F L' F' R2 U,52
F2 L' F' B' U2 R2 F2 D2 B2 U L' F2 D2 R' F L2 D B L2 R,x2,R D' B D2 L' D,D2 L U L' D2,B' U' R' U2 R U' B,U' B L2 B' L2,R' U2 R,F' L2 F2 U2 F' L' F U2 F2 L2 F,U L' B R' U2 L F' L R2 D2 R2 F L' R,51
B U B2 R D2 R2 F' U' B2 D B F2 L U' L D' B F' L2 D' R,x2,D B2 D2 F L',B' R2 U' R U R2 B,L U B U2 B' L',L2 U2 L' U2 L2,F' U' R' U' R F,F' L2 F2 U2 F' L' F U2 F2 L2 F,R' U L' U R U2 F R B2 R' F' B2 U L U',55
D' F U B R2 B L B F U F' R' D2 B2 F R U2 R' B2 D2 F' D2 R' F2,x2,D F' D B D R',F' U F,L B' R B L' R',L' U2 B' U2 B U' L,U2 R' U' R,R B U B' U' R',U2 L U' F R' F' L' F R F' U' L U2 L' U',47
F R D R F' L D2 F D' U2 B D2 U' L R2 B2 F D2 R U2 L' F' B' U',x2,B D2 R' F' L' D,B' D2 F2 D2 B,U2 L U' L',U' L' F' L F L,B2 U2 R B' R' U2 B2,B' R B R' U2 B2 L' B' L B',U' L2 U F' B L2 F B' U L2 U' U2,50
R D L R2 F L' F2 U2 F' D' F' B2 R' F2 L F' B2 L2 U D2 L' B' U R L,x2,B D2 U' R B' F',U' L F' U' F L',U' B' U2 R' U2 R B,D R' F2 R F2 D',R' B' R B R,U' F U R U' R' U R U' R' F',B2 D B' U' F U2 B' U F' U' B2 L2 D' B2,55
F R' B U2 L D U' L D2 B' L2 U B' U B' U D R B2 D' U B,x2,D B2 D2 B,U2 F2 U2 F U F' U F2,R U2 L R' U2 L',F L F' L' U' F',U B U B',U F' U2 R' U' R2 B' R' B2 U' F B',R2 F2 D2 L2 F' B' D2 R2 F' B' U',51
B L2 D F' U' D2 L' D' U2 L2 R2 B F R' F R' D' U2 F U2 R2,x2,B2 U' F R' B L' D',R' F R F',F U' F2 L2 F L2,U2 F R U R2 F R F2,U R' U2 R,L' U' L B L' B' U B L B',B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',53
F U B' F L' D2 B F2 R2 U2 B2 R D' B' U' L2 D R2 U' L R2 F B2 D2 L,x2,D B R2 F R' D',F L F L' F2 U' F,B' U R' U2 R B,D' L U' L' D,U2 B2 U B U' B2,U2 R B R' F' R U B' U' R' F,R' D B2 L2 D L' F2 L D' L2 B2 D' R U',55
L' U' B' R D2 U' F B U R B' D2 R B2 U' D2 F L' D' L' F',x2,B U' R' B2 F R,L2 F' L2 U2 F,U' F' L2 F L2,L' B U2 B' L,U R' F R' F' R U' R,U' R' U' F' U F' L F L' F R,L R U2 R' U' R U2 L' U R',50
D R2 B' D R' L2 B' L2 U' D B' F L R2 B' L' B F L2 R2 U B L' F' L2,x2,R' U2 L2 D B,U F' R' F' R F,U' F' L2 F L2,L2 D' L U' L' D L2,R' F U' R F',U2 L' B' U' B2 U B' L B U' B',U2 F2 L2 U' L2 D F2 D' F2 U F2 U',51
R2 U' R' L' U2 L F' D2 L F' L2 B F' R' L' U F' L' F' B,x2,R B2 F L' R2 D,U2 F' U2 B' U B F,B' U2 B U B' U' B,U' L' U' L,F R' U' R F',U2 R' F' R B R' U' F U R B',U' R2 B2 R F R' B2 R F' R U2 U,52
U D R' F' D2 L' R' U' L2 B U' B' U2 F2 U2 F R2 L2 U B' F D,x2,F L' D' R' F,R2 B' R' B U2 R',L2 F' L' F U2 L',U B L2 B' L2,B U2 B' R' U' R,U R' F' R B R' U' F U R B',U,40
R D' L2 F2 D2 F L R2 D2 F D L2 D B2 D2 R2 D R2 F R2 F2 L B' R,x2,F' L' R D' R B,L' U L F' U2 F,R' U' R B' U' B,U2 L2 D' B2 D L2,R' U' R U2 B U B',U F' U' F2 R U R' U' F2 U2 F,U B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,58
U' D B2 F R' F' R F2 U2 D2 R' B' L' F U F2 B R2 D2 U2 B' D U' R2 F',x2,L2 B' F2 D L' B D,F' U F U' F' U' F,B' R U R' U2 B,F' D' L' D F,D L U' L' D',U2 B' U2 B2 U B2 U B2 U2 B',U R2 B2 R F R' B2 R F' R U2 U2,52
R B2 D R2 D L F2 R L' B' U B' U L2 D2 B' U2 R2 F L B2 U',x2,D F' L B2 D2 B',F U' F2 U' F,B' R B' R' B2,F U' F' L' U' L,U R' U2 F R' F' R2,U B' R B R' U2 B2 L' B' L B',U U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,55
L2 B2 U2 B L2 F' L' B L U2 R' B' L2 F' L2 U2 D B' R' B,x2,R B2 D' B F',U R' F R F2 U' F,U R B' U' B R',U F2 R' F' R U2 F',R2 U' R U R2,U L' U' L B L' B' U B L B',U' F2 L2 U' L2 D F2 D' F2 U F2 U2,53
L' U' B' U2 D2 L' D L2 U2 B U2 R2 D2 U R' B' D U' B' R' B2 D F' U2,x2,R F R B L' D',B U B2 R2 B R2,U2 B' R' U2 R U' B,U2 L2 D' B2 D L2,B U' B' R' U2 R,U2 F R U' B U B' U R' U' F',U2 R' U L' U R U2 F R B2 R' F' B2 U L U',58
F2 U' F2 D U L U L2 R' F D' U' B2 R U D' B2 R2 B' R2,x2,B F2 R B L U' F2,U' F U2 F2 U' F,D' R' U' R D,R' F R' F R F2 R,U' B U2 B' U' B U B',U F U R2 D R' U' R D' R2 F',U2 R' U L' U R U2 F R B2 R' F' B2 U L U2,60
D2 L' U F' B R2 B U F B U B F' L2 B2 L' D B' D R' D' U2 F2 U,x2,R F' D' R' B D,U R' F R F2 U' F,B' L' B' L B,F U2 R' F R F2,D' R U2 R' D,U' L U2 F' L' U' L U F2 U2 F' L',U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',54
U2 B R2 F' R' F' D' R U' L F' U' D R2 U' B R2 F2 D' U2 L' F L',x2,B2 F' R' D' F,F' U2 L' U2 L U' F,U B2 R2 F R F' R B2,L2 U L U' L2,R2 B' R2 B,U2 B' R' U' R U R' U' R U B,B' R B' L2 B R' B' L2 B2,49
B' U B' D' B' R U2 R F R2 U' L2 F' L D U F R2 U2 B D2,x2,R2 B' D2 R B',D R' U R D',D' R' U R D,R' F R2 U2 R' F',U2 B U B',F' U2 F2 U F' U F U2 R' F' R,U F2 U' L R' F2 L' R U' F2 U2 U2,48
U' D L' D F L' B D2 U2 F2 B' L R2 U2 F U2 D L' D' R' L,x2,D2 R B' F' L' D',L2 D F' D' L2,B' R' U2 R B,F2 U F U' F2,U' R2 B' R2 B,R' F2 L F L' F R,U' L2 U F' B L2 F B' U L2 U' U,45
F2 R' D B' D2 R' B U D F L D R2 F R' U R U2 F D2 L' F' B' L2,x2,F' D' L R2 B F2,B' U B R U R',U R' B' U' B R,L' F' L F L,U' R B' R' B2 U B',F2 D' B L B' D F L' U' L F,B2 D F2 D R2 F D B' D2 F D' B' U',54
B F' L2 U2 B' D2 L' U' D2 F L2 D' L U2 B L' R2 F' R B2,x2,B' U F2 R B,R' D' F' D R,U2 R B2 R' B2,U L' B' R B R' U L,U' B L F U' F' L' B',U' F' U2 R' U' R2 B' R' B2 U' F B',U2 L' U2 L F R U' R' U' F' U' L F' L' F U,59
L D' F L2 B2 L' R' U2 D' L' D L R B2 D' B2 D U' R F' U',x2,F' D L2 R' D L',F' L' U' L2 F' L' F2,R2 B' R2 U2 B,U' R' U F2 R F2,R' U' R U2 B U B',U' F R' F' R U2 F2 L F L' F,U B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',57
B' D2 B' F U2 D L2 D B' D U2 L2 R' B F D B2 U L D F2 U L U2 D2,x2,F' R' B L' D L',F' U2 F U F' U' F,L F' L F L' U L',U2 F U F',F' U' B F U B',U2 F' U' L2 D' L U L' D L2 F,U' L' B R' U2 L F' L R2 D2 R2 F L' R U2,56
U F D' B' L U R F U' B2 L R2 B2 D2 U L2 U2 F R2 D' U' L',x2,B F' L' D' R,U2 L U' F2 L' F2,U2 B' R' U' R2 B' R' B2,B' U' L' U' L B,B' U2 B2 U' B',F U2 F' U' F U' F',U B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',52
U F2 D R F2 U' B2 F R2 D2 F' D U L' F' D' U2 L F B2 U' B2 R' D L,x2,U L D L2 B R D,F' R' U2 R U' F,U2 B' U' B,U' L' U B' U2 B U2 L,L2 B D' B2 D B L2,L F' U' F2 U' F2 U2 F U' L',U R' U L' U R U2 F R B2 R' F' B2 U L U2,58
R2 D' R2 F2 D' L' U' D2 F2 L2 U B2 U' D2 R2 U' B2 L' D U2,x2,D L2 F2 D B2,B' D2 F2 D2 B,U B' R' U' R2 B' R' B2,D' L U L' D,U L R' U L' R,U B' R B R' U2 B2 L' B' L B',U' L R U2 R' U' R U2 L' U R',51
U' B D2 L' B F U2 L2 U L' B2 D' B2 R2 L2 D2 U' B U L2 D U2 B2,x2,R2 D2 L' D2 B F',U B' R U2 R' B,B' U' R' U' R U' B,U R' F U R F',L' B2 L B2,U L' B L F' L' B' L F,L' B R' U2 L F' L R2 D2 R2 F L' R U,52
B U D L' U R' U2 R' U R' B F L F' B U' L' F' R F2 D' R U' D2 F,x2,F2 D B L' F' D,U' R U R',L2 U L' U' L2,B2 L2 B' L2 B',R' U' R U' B U B',U' L F' U' F2 U' F2 U2 F U' L',U L' U2 L F R U' R' U' F' U' L F' L' F U,54
F2 B U2 D' B F' R2 U2 B2 D U F2 L F' R2 D L' R' F2 R U B2 D B,x2,F2 L' D B F,B U' B2 R2 B R2,B2 R B R2 U2 R B,U' F R' F R F2,U' R' U' B' U2 B R,U2 F' U' F2 R U R' U' F2 U2 F,U' L' R' U2 L R F U' B U2 F' U B' U',56
R2 F D2 L2 R2 B' L D' L' F U D' F2 L' D' L' D2 F R' L',x2,R D F L' B',R F U F' U' R',U' B' U B,U F R' F R F2,U' R' B' R B R,U2 F R U' B U B' R' F',L2 U F' B L2 F B' U L2 U' U,47
D F' U2 L' B' R2 L' F R L F2 R2 D' L2 R2 F L2 B2 D2 L' B2 D2,x2,L D' F D2 L' R',R U F U2 F' R',B' F U2 F' U B,F U2 F' L' U' L,R B' R' B,L F2 R' F' R F' L',U2 L2 U F' B L2 F B' U L2 U',46
D2 F2 R2 B' R' F B' D2 B' D L2 D' B2 R' L B2 U2 F2 U' B2,x2,L2 D' F' R' B',F' U2 F,U' R B2 R' B2,F U' R2 F R2 F2,U B U2 B' U' B U B',U F' U2 F2 U F' U F U2 R' F' R,U2 B' R B' L2 B R' B' L2 B2,49
B L' D L' R B' D' L2 B2 F2 R F' R U B F R' D' R2 B' F2 U2,x2,R2 F' R2 B' L U' F2,R U' R' U F' U' F,D2 L U L' D2,R' U2 F2 R F2,R' U' R B' R B R',U L' U2 L F R2 B' R' B U2 R' F',U' B2 D F2 D R2 F D B' D2 F D' B' U' U2,58
D F D B' D2 F' L' U' D2 F2 U2 R2 U' L2 B D2 U2 L' B' U' B' F' L',x2,F2 D F D L,U2 B2 R2 B2 R2,L F U F' U L',U' B L' U2 L B',B2 U2 B U2 B2,U F R U R' U' R U R' U' F',U U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,53
R U' F B' L' B2 R2 U R B' F' D U B U' R2 D' U B F' L2 R D R D',x2,B' L' U F R' B,U2 B' R2 B R2,F2 D2 B2 D2 F2,U L' U2 L,U2 R' U2 R U' B U B',U2 L' B' U' B2 U B' L B U' B',U' L R U2 R' U' R U2 L' U R',50
D2 U2 L' R2 B' L2 D2 B' R2 B' L R2 D B2 L F2 U B2 L2 U' D2 F B' D',x2,B L2 D R B D2,L F' L' U2 F,B U2 B2 U' B,R2 U L' U' L R2,U' R' U' R,R U R' U R U2 R',U B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',48
U' L' D' L' D U' B2 R' L2 B U B2 L' R D R2 L' F2 L2 F2 B' L',x2,R2 U' L' B2 D2 B',D2 L U L' D2,F' L F2 U2 F' L',U2 F U2 R' F R F2,U' B' U2 B2 U B',U' F2 D' B L B' D F L' U' L F,U' B2 D' F2 D' L2 F' D' B D2 F' D B U',56
D U' F' B' L U' R F' B R F D' R U' F B' D' B D2 F,x2,L' B2 D' F L' D B,R U2 B' U R' B,B U' L U L2 B' L,B2 L2 B' L2 B',U' R' U2 F' U' F U' R,L F' L' U' L U F U' L',U' B2 R U' L U2 R' U L' R2 B2 R2 U B2,56
F2 B' U' F2 D2 U L2 F' R2 U2 F' U' F R B F R2 D' L D R' D' F2 L2 F,x2,D' U2 B2 L' F',R D B' D' U2 R',U L R' U' L' R,B2 F U' F' U B2,R2 U2 B' R' B U2 R2,L F' L' F U F U' F',B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,53
U B2 U2 F B2 R' U' F2 D R D' F' B2 D U2 L B U' D F' D' F B',x2,D F R D' B' F,R U R' U F' U' F,D' R' U2 R D,R' F R U2 F',B U R U2 R' B',B L F' L F L2 B',U L2 U F' B L2 F B' U L2 U' U',48
R2 F2 R' U2 F U B2 R2 F2 B2 L' D U' L2 F B' D' R' L' F' R2 U L' F,x2,L' B2 F D' F',R' D' F' D R,L F U2 F' U L',B2 L' B' L' B' L2,B L U2 L' U B',U B' R B2 R' U2 R' U2 R B',U' U' F2 D' L2 U L2 F2 D R2 U' R2 U,51
D' U2 R' D2 R D' B R B' F U' D2 B D L D' B R D' U' F2 D' F R U,x2,F R' B' D R F D,B' R2 B R' U2 R',U' B' U B,U' F L F L' F',R B' R' B2 U B',U R' F U F2 U F2 U2 F' U R,U B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2,55
L B' F2 R2 F2 L' F L' B2 U F' B' L B2 U' F B D2 U' R' U',x2,D L2 D2,R2 D B2 D' R2,U' R B2 R' B2,B' U B2 L2 B' L2,R2 U' F' U F R2,B U' F' U B' U' F,U U' B2 D' F2 D' L2 F' D' B D2 F' D B U,47
R2 B2 F R' B2 L2 U D2 F' R' F2 R D2 U2 L B2 F' D2 F' D2 B',x2,F' L2 D L' R B',L R U L' U2 R',U2 B' U R' U R U2 B,R' U' F R U2 F',U' F R2 F' R2,U F' L' U' L2 U F U' F' L' F,U L' B R' U2 L F' L R2 D2 R2 F L' R U2,57
