scramble,orientation,2x2x2,2x2x3,EO,block_fr,block_br,co,pll,total_moves
U' B2 D' F L2 B' D2 B' U' R L' D' F B' R F' D' U L' F' L R2 U R2 B,,U' B2 D2 R' D' F2,U R2 F' R F U',D2 B R' B',D R D R2,B' D F2 D' B D F2,D' L2 B2 L F2 L' B2 L F2 L,R2 B' D2 B2 R2 F' U2 F2 U2 R2 B' D2 R2 F2 D,52
R' U' F' U' F' R F' B U L2 R2 U2 D' F R' B2 F L2 F' U,,B2 R2 U2 B U L,B' R2 D R' D' B2,B R' B2 F D' B F',D L D' R D L' D2 R',D2 R' D R' D' R,,D2 R2 F2 R B R' F2 R B' R D2 D2,45
D2 R D2 R' D2 L D U L B' U2 D F' U' R2 U B' D' R2 U F B2,,L' D' F D' L2,B D2 B' D' B',,D' R D2 R' D2 R D2 R',R2 D2 R' D' R,F' D B D' F D B',D F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,45
U2 D' F U' F2 R2 B' U R2 L2 B U2 D R' D2 F' B2 L' U2 R' D2 R2 U2 R2,,F U2 L F2 U' F',B' D' R D' R2 B,U L' F L U',D' B2 L U' L U L2 B2,D R D' R' D2 R2,L' F L B' L' F' L B,D' L' F R' D2 L B' L R2 U2 R2 B L' R D2,54
L2 R2 U2 L' R F' L U' R B2 R L D' B U2 D2 B2 D2 U2 B D' B',,L' U' F2 L2 R' F2,B2,R2 B' D B,D2 R D R',D U L' F2 L U',F' R' F L' F' R F L,D L' F R' D2 L B' L R2 U2 R2 B L' R D',44
L' U B2 R B R2 U2 D L' R' D2 B U2 R F2 L' U B' F2 U2 B F U',,D B' D F D L',D2 L' R' D' L D2 B2,B F' R B2 F D' B,R D R' D R D R',D2 R' D2 R D' R,B D' F' D B' D' F,D2 R' D L' D R D2 B R F2 R' B' F2 D L D2,56
F' D2 F' R2 U D' B' R F L' U2 F' B2 L R D2 L2 R2 D F U2,,L U2 B' D U2 L2,R' B' D R' B,R2 B R' B2 D' B,R D2 R',R',L' F' L B' L' F L B,D' D' B2 U' L2 D L2 B2 U R2 D' R2 D2,42
F B L' R' U2 F D2 L2 F' L2 F' D L' D F' U F D2 R2 D2 U2 B F',,R U2 B L2 U' F',L U' L U L2 B',U L' F L U',D' R D' R' D R D R',D' R D R' D R2,R D R' D R D2 R',D B2 D' L R' B2 L' R D' B2 D2 D',50
U L2 F2 U' D' F' D' U B' L2 B2 L' F2 B' R2 B' U' D L2 U2 L2 U',,R' D R D2 F' U,L B2 L' D R B2,D' B R B2 D' B,R' D2 R2 D' R' D2 R',R' D2 R D2 R' D' R,B D' F' D B' D' F,D' F2 R D' L D2 R' D L' R2 F2 R2 D F2 D',54
L B2 L' R B2 U2 D2 B' F2 L R F B L2 F' R' F2 U' F U' D2 L D2 L',,U2 R2 B U' L F',R2 D B2 R D' B2,R' B R' B2 D' B,L U' L' D L U L',U' R D2 R' U,B' D F D' B D F',D' F' R F' L2 F R' F' L2 F2,47
B R' L2 B' L2 R' F2 R' B' L' U2 L2 B' F' R2 F D2 R' U2 L,,D L2 D' L2 F,R B R2 D2 B',B R2 B',D2 R D2 R' D' R D2 R',R' D' R2,L2 B2 L F2 L' B2 L F2 L,D B' L B L' R' B L R' B L' B' R2 D,47
L U' F' D' F2 R' F R F2 U' B R2 D2 F R B2 D R D' L U,,F R' D2 R B' U2 L2,D B2 R D' B2,F' U' R2 U F,D2 R D R D R',R' D2 R D R' D' R,F' D2 F D F' D F,D D' B2 U' L2 D L2 B2 U R2 D' R2 D2,50
D B' D2 B2 U2 F' L R' F R' F' U' B' L' D' U F2 U B2 U' D' R2,,L U2 R B' U L2,U R' D2 U' B' R2 B,B R' B2 D' B,R U R' D2 R U',D2 R D2 R2 D' R2 D' R',D F' D2 B' F D L2 D L2 D' L2 B,L' D2 L B R D' R' D' B' D' L B' L' B D,59
U R2 D' R2 U L D U B' D B2 D2 B U2 F' R U R' L U2 L' U2,,L U2 R' D2 L2,D' L B L' B',B F' R B2 F D' B,L D' R D L' R',R2 D2 R D' R,D' L2 B2 L F2 L' B2 L F2 L,D' L' F R' D2 L B' L R2 U2 R2 B L' R D2,53
F' D2 U' L2 U' F' D' L2 R' F U' F D2 L2 U D' R D2 B' L R2 F',,D B F L2 D L',R2 D B' D' R' D B',B' F D B F',R2 D R2 D R',D F2 D L D' L' F2,D' L2 B2 L F2 L' B2 L F2 L,D D' F2 U' B2 U' L2 B' U' F U2 B' U F,54
R' D' R U L' F' L' F' B D2 R B U R2 L B R' L' B' F' D',,F' U2 B2 L' B' L2 U',D B' D2 R' D B',R2 B' F D' B F',R D2 R' D' R D R',,L' D2 L2 D L2 D L2 D2 L',D2 D' B2 U' L2 D L2 B2 U R2 D' R2 D2,48
D' R2 D' B L F B2 U' L2 B L2 R2 D2 F U' F L' R D' B2 R' U,,F D2 R' U2 L' U',B2 R' U' B2 U B,B R' B',D2 R' D R' D' R2,D' R' D2 L' D R D' L,L2 B2 L F2 L' B2 L F2 L,D L2 D B' F L2 B F' D L2 D' D',50
F D2 B U' B' L' F2 R L U2 B' R' F R L B' D' L2 B2 U F2 R L U2 L2,,B' F2 D U L2 F,B2 D2 R' D2 B2 D' B',B R2 B2 D' B,D' B2 L' D' L D B2,R D2 R' D2 R,L' D2 L2 D L2 D L2 D2 L',L2 D B' F L2 B F' D L2 D' D2,50
