method_name,num_steps,num_groups,num_removes,total_constraints,avg_constraints_per_step,min_constraints_per_step,max_constraints_per_step,constraints_per_step_range,constraints_per_step_std,step_entropy,num_cache_alg_steps,num_free_layer_steps,symmetry_depth,num_symmetry_orientations,total_step_face_overlap_score,avg_step_face_overlap_score,min_step_face_overlap_score,max_step_face_overlap_score,step_face_overlap_score_range,step_face_overlap_score_std,num_zero_face_overlap_steps,fraction_zero_face_overlap_steps,avg_distinct_faces_per_step,min_distinct_faces_per_step,max_distinct_faces_per_step,num_edge_only_steps,num_corner_only_steps,num_mixed_piece_type_steps,fraction_mixed_piece_type_steps,avg_adjacent_step_face_overlap,max_adjacent_step_face_overlap,score
mut_b00579bb,6,1,2,16,2.67,1,5,4,1.49,2.3522,1,1,1,0,12,2.0,0,5,5,2.08,3,0.5,2.33,0,5,0,0,3,0.5,1.6,4,0.023535
rand_2ffec912,3,0,0,20,6.67,4,8,4,1.89,1.5219,0,0,1,0,31,10.33,4,14,10,4.5,0,0.0,5.67,5,6,0,0,3,1.0,5.5,6,0.007951
mut_c71815d8,3,0,0,20,6.67,4,8,4,1.89,1.5219,0,0,1,0,31,10.33,3,14,11,5.19,0,0.0,5.67,5,6,1,0,2,0.6667,5.5,6,0.008055
rand_adf02c35,4,0,0,20,5.0,3,6,3,1.22,1.9527,0,0,1,0,24,6.0,1,8,7,2.92,0,0.0,6.0,6,6,0,0,4,1.0,6.0,6,0.010385
rand_be64bb18,3,0,0,20,6.67,5,8,3,1.25,1.5589,0,0,1,0,32,10.67,6,14,8,3.4,0,0.0,5.33,5,6,0,0,3,1.0,4.5,5,0.004944
rand_23d24224,4,0,0,20,5.0,3,8,5,1.87,1.9037,0,0,1,0,27,6.75,2,13,11,4.02,0,0.0,5.25,4,6,1,0,3,0.75,4.33,5,0.010036
mut_c7fafa70,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,26,6.5,3,11,8,3.2,0,0.0,5.5,5,6,1,1,2,0.5,5.0,6,0.005991
rand_2133b62a,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,25,6.25,5,7,2,0.83,0,0.0,5.75,5,6,0,0,4,1.0,5.67,6,0.007148
rand_8730bf16,4,0,0,20,5.0,3,8,5,1.87,1.9037,0,0,1,0,27,6.75,3,13,10,3.77,0,0.0,5.25,4,6,0,0,4,1.0,4.67,5,0.007829
mut_b7ab6ffe,4,0,0,20,5.0,4,8,4,1.73,1.9219,0,0,1,0,25,6.25,4,12,8,3.34,0,0.0,5.75,5,6,0,0,4,1.0,5.33,6,0.006835
mut_cf665a5d,5,0,0,20,4.0,3,5,2,0.63,2.3037,0,0,1,0,19,3.8,2,7,5,1.72,0,0.0,5.8,5,6,0,0,5,1.0,5.75,6,0.011414
rand_7000a5b1,4,0,0,20,5.0,4,7,3,1.22,1.9589,0,0,1,0,27,6.75,4,12,8,3.11,0,0.0,5.25,4,6,0,0,4,1.0,4.33,5,0.010788
rand_b646ad66,4,0,0,20,5.0,3,6,3,1.22,1.9527,0,0,1,0,24,6.0,1,9,8,3.0,0,0.0,6.0,6,6,0,0,4,1.0,6.0,6,0.012617
mut_73d6bde8,4,0,0,20,5.0,3,8,5,1.87,1.9037,0,0,1,0,25,6.25,2,13,11,4.32,0,0.0,5.75,5,6,1,0,3,0.75,5.33,6,0.007381
mut_5152ecd4,4,0,0,20,5.0,3,6,3,1.22,1.9527,0,0,1,0,25,6.25,1,9,8,3.27,0,0.0,5.75,5,6,1,0,3,0.75,5.67,6,0.008792
rand_2d2dd76e,5,0,0,20,4.0,3,6,3,1.26,2.2527,0,0,1,0,25,5.0,3,8,5,1.79,0,0.0,4.6,4,6,0,0,5,1.0,3.75,5,0.010654
rand_52050afc,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,25,6.25,2,9,7,2.68,0,0.0,5.75,5,6,1,0,3,0.75,5.33,6,0.009309
mut_77a8d01d,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,29,7.25,3,12,9,3.83,0,0.0,5.0,4,6,0,0,4,1.0,4.0,5,0.010036
rand_41ecbdd3,5,0,0,20,4.0,3,7,4,1.55,2.2261,0,0,1,0,20,4.0,1,12,11,4.05,0,0.0,5.6,5,6,1,0,4,0.8,5.25,6,0.012971
mut_085837f3,5,0,0,20,4.0,3,6,3,1.26,2.2527,0,0,1,0,23,4.6,2,9,7,2.87,0,0.0,5.2,4,6,0,0,5,1.0,4.5,6,0.012595
mut_a7a2b614,3,0,0,20,6.67,5,8,3,1.25,1.5589,0,0,1,0,31,10.33,6,13,7,3.09,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.007273
rand_6f4454f5,5,0,0,20,4.0,3,5,2,0.89,2.2855,0,0,1,0,23,4.6,3,7,4,1.62,0,0.0,5.0,4,6,0,0,5,1.0,3.5,4,0.008511
rand_23fab2b7,4,0,0,20,5.0,4,7,3,1.22,1.9589,0,0,1,0,25,6.25,3,11,8,3.11,0,0.0,5.75,5,6,1,0,3,0.75,5.33,6,0.009125
rand_01fc5d20,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,27,6.75,4,10,6,2.17,0,0.0,5.25,5,6,0,0,4,1.0,4.33,5,0.007579
rand_1a254b23,6,0,0,20,3.33,3,4,1,0.47,2.571,0,0,1,0,18,3.0,1,5,4,1.29,0,0.0,5.0,4,6,1,1,4,0.6667,4.0,5,0.013485
rand_0ae97be4,4,0,0,20,5.0,4,8,4,1.73,1.9219,0,0,1,0,26,6.5,4,14,10,4.33,0,0.0,5.5,5,6,0,0,4,1.0,5.0,6,0.007943
rand_c2547862,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,25,6.25,3,10,7,3.27,0,0.0,5.75,5,6,1,1,2,0.5,5.33,6,0.008505
mut_0f43bd1e,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,26,6.5,5,10,5,2.06,0,0.0,5.25,4,6,0,0,4,1.0,4.33,6,0.010788
rand_5bf065aa,4,0,0,20,5.0,4,7,3,1.22,1.9589,0,0,1,0,25,6.25,4,11,7,2.77,0,0.0,5.75,5,6,1,0,3,0.75,5.33,6,0.011441
mut_b0c42b4f,5,0,0,20,4.0,3,8,5,2.0,2.171,0,0,1,0,22,4.4,1,15,14,5.31,0,0.0,5.4,5,6,1,0,4,0.8,4.75,6,0.008677
mut_1b8bafda,5,0,0,20,4.0,3,6,3,1.1,2.271,0,0,1,0,21,4.2,2,7,5,1.94,0,0.0,5.4,5,6,1,0,4,0.8,4.75,5,0.011873
rand_a7890f59,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,27,6.75,2,12,10,3.7,0,0.0,5.25,4,6,0,0,4,1.0,4.33,5,0.008832
mut_02a98281,4,0,0,20,5.0,3,8,5,1.87,1.9037,0,0,1,0,27,6.75,2,14,12,4.55,0,0.0,5.5,5,6,0,0,4,1.0,5.33,6,0.012311
mut_ad08b251,5,0,0,20,4.0,1,7,6,2.19,2.0884,0,0,1,0,26,5.2,0,12,12,4.53,1,0.2,4.6,3,6,0,1,4,0.8,3.75,5,0.009849
rand_1be51626,5,0,0,20,4.0,3,6,3,1.1,2.271,0,0,1,0,25,5.0,2,10,8,2.83,0,0.0,4.6,4,5,0,0,5,1.0,3.25,4,0.017116
mut_42a02c91,5,0,0,20,4.0,2,5,3,1.1,2.261,0,0,1,0,25,5.0,0,7,7,2.61,1,0.2,4.6,4,5,1,0,4,0.8,3.25,4,0.01235
rand_67f52555,4,0,0,20,5.0,4,8,4,1.73,1.9219,0,0,1,0,25,6.25,3,14,11,4.55,0,0.0,5.75,5,6,1,0,3,0.75,5.67,6,0.007652
mut_8f62cf22,4,0,0,20,5.0,4,8,4,1.73,1.9219,0,0,1,0,25,6.25,4,13,9,3.9,0,0.0,5.75,5,6,0,0,4,1.0,5.67,6,0.00888
mut_830f10bf,4,0,0,20,5.0,4,6,2,1.0,1.971,0,0,1,0,26,6.5,2,10,8,2.96,0,0.0,5.75,5,6,1,0,3,0.75,5.67,6,0.008011
rand_74cabf35,3,0,0,20,6.67,5,8,3,1.25,1.5589,0,0,1,0,30,10.0,6,14,8,3.27,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.007588
mut_bd21c48b,5,0,0,20,4.0,3,5,2,0.89,2.2855,0,0,1,0,23,4.6,3,8,5,1.85,0,0.0,5.0,3,6,2,0,3,0.6,4.25,5,0.006776
mut_83183dac,4,0,0,20,5.0,4,7,3,1.22,1.9589,0,0,1,0,25,6.25,4,11,7,2.77,0,0.0,5.75,5,6,0,0,4,1.0,5.67,6,0.007726
mut_992184cd,4,0,0,20,5.0,3,8,5,1.87,1.9037,0,0,1,0,28,7.0,3,12,9,3.24,0,0.0,5.0,4,6,0,0,4,1.0,4.33,5,0.006599
mut_e40b6324,4,0,0,20,5.0,3,8,5,1.87,1.9037,0,0,1,0,25,6.25,1,14,13,4.76,0,0.0,6.0,6,6,0,0,4,1.0,6.0,6,0.005863
rand_d4652202,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,25,6.25,3,9,6,2.17,0,0.0,5.75,5,6,0,0,4,1.0,5.33,6,0.005738
mut_eb26c74b,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,25,6.25,3,10,7,2.59,0,0.0,5.75,5,6,0,0,4,1.0,5.67,6,0.010385
mut_2070b15f,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,25,6.25,5,7,2,0.83,0,0.0,5.75,5,6,0,0,4,1.0,5.33,6,0.005668
mut_2b853c94,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,28,7.0,2,13,11,4.06,0,0.0,5.25,4,6,0,0,4,1.0,4.33,6,0.008279
mut_e61e78eb,4,0,0,20,5.0,5,5,0,0.0,2.0,0,0,1,0,26,6.5,6,7,1,0.5,0,0.0,5.5,4,6,0,0,4,1.0,4.67,6,0.009438
mut_dd0a1a05,3,0,0,20,6.67,6,8,2,0.94,1.571,0,0,1,0,30,10.0,6,14,8,3.27,0,0.0,6.0,6,6,1,0,2,0.6667,6.0,6,0.007179
