method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
mut_b664634c,80,45.7,4,11.43,0,0.005549
mut_4f110d39,80,35.21,3,11.74,0,0.006499
rand_8d4128d7,80,43.25,4,10.81,0,0.007277
mut_245ee5ba,80,34.15,3,11.38,0,0.007552
rand_ff7dada9,80,42.16,4,10.54,0,0.008237
rand_1d1cd75d,80,41.14,4,10.29,0,0.009265
rand_2d4850bd,80,44.55,4,11.14,0,0.006286
mut_59d4b731,80,35.29,3,11.76,0,0.006442
rand_82c29f60,80,41.11,4,10.28,0,0.009307
mut_2cad8f51,80,35.89,3,11.96,0,0.005941
mut_53167fc1,80,42.62,4,10.65,0,0.007825
rand_b856e7cc,80,43.14,4,10.79,0,0.007348
mut_210f7167,80,43.42,4,10.86,0,0.007119
rand_6d80ffe4,80,40.46,4,10.12,0,0.010046
mut_cc10777b,80,35.0,3,11.67,0,0.006689
mut_208ab08c,80,40.86,4,10.21,0,0.009614
rand_79a15d80,80,42.56,4,10.64,0,0.007865
rand_3495dde7,80,39.3,4,9.82,0,0.011604
rand_fcbc0aab,74,34.92,3,11.64,0,0.006771
rand_24f237c5,80,49.9,5,9.98,0,0.008593
mut_5ac3290a,80,41.65,4,10.41,0,0.008749
mut_8c183b7f,80,38.92,4,9.73,0,0.012132
mut_a3a48cdf,80,47.01,5,9.4,0,0.011412
mut_3d1cb21d,80,43.51,5,8.7,0,0.016033
mut_3a8c7be7,80,39.76,4,9.94,0,0.010952
rand_803edbc8,80,44.34,4,11.09,0,0.006427
rand_1ae50468,80,40.02,4,10.01,0,0.010592
rand_ee093eb3,80,43.49,4,10.87,0,0.007083
rand_748e0f1b,80,38.84,4,9.71,0,0.012251
mut_5e6f4e68,80,46.08,5,9.22,0,0.012477
mut_a496773c,80,42.56,4,10.64,0,0.007865
mut_d4c9ed35,80,39.98,4,9.99,0,0.010684
rand_3358cb19,79,39.48,4,9.87,0,0.01133
rand_8521475d,80,49.2,5,9.84,0,0.009198
rand_192faa6f,69,34.12,3,11.37,0,0.007584
mut_1d50694c,68,41.74,4,10.44,0,0.008633
mut_c54b9a1d,66,40.45,4,10.11,0,0.010087
mut_f23a12dc,70,41.77,4,10.44,0,0.008627
rand_e524fbdb,70,35.93,3,11.98,0,0.005897
mut_7314aef3,70,43.6,4,10.9,0,0.006989
mut_9ce111ed,70,41.67,4,10.42,0,0.008712
rand_fa353988,50,35.46,3,11.82,0,0.006288
mut_69aeeb5f,36,40.69,4,10.17,0,0.009802
mut_2d0ba065,30,45.2,5,9.04,0,0.013621
rand_39c36e24,30,37.23,3,12.41,0,0.004983
rand_b465a737,10,39.8,4,9.95,0,0.010899
rand_447efb06,20,50.65,5,10.13,0,0.007995
mut_87a7bada,10,35.3,3,11.77,0,0.006419
rand_a2f1c47e,10,33.7,3,11.23,0,0.008055
rand_7c928102,10,47.4,5,9.48,0,0.010973
mut_502d86d3,8,41.75,4,10.44,0,0.005524
mut_13211a27,8,40.12,4,10.03,0,0.006711
mut_2aa8687a,9,33.33,3,11.11,0,0.006877
rand_a85eb434,10,38.9,4,9.72,0,0.012185
rand_3efbc2ca,10,38.4,4,9.6,0,0.01293
mut_19ef5415,10,41.6,4,10.4,0,0.008792
mut_8ed0e4e9,10,39.9,4,9.97,0,0.010788
mut_c3db4dd1,10,34.1,3,11.37,0,0.007588
mut_ac8f2c65,10,34.5,3,11.5,0,0.007179
mut_689d3723,10,46.3,5,9.26,0,0.012229
rand_27623da9,10,33.8,3,11.27,0,0.007921
rand_05e29064,10,35.7,3,11.9,0,0.006087
mut_6e527e8d,10,44.1,4,11.03,0,0.006599
mut_8e6980cc,10,50.8,5,10.16,0,0.007881
mut_10f9e54d,10,42.9,4,10.72,0,0.007579
rand_3cc8cd06,10,41.6,4,10.4,0,0.008792
mut_74bd9682,10,42.5,4,10.62,0,0.007934
mut_4fb0e83c,10,50.8,5,10.16,0,0.007881
mut_ce125cb8,10,43.3,4,10.82,0,0.007242
mut_f5ceccb1,10,39.1,4,9.78,0,0.011845
mut_4870ca61,10,41.0,4,10.25,0,0.009438
mut_b2e8ec11,10,43.4,4,10.85,0,0.007148
mut_d33deab5,10,53.8,7,7.69,13,0.017348
rand_77726e6b,10,42.7,4,10.68,0,0.007726
rand_64b08c99,10,41.0,4,10.25,0,0.009438
mut_c98500f4,10,37.4,3,12.47,0,0.004872
mut_9f9a80a2,9,38.33,4,9.58,0,0.010574
rand_6b0cac09,10,41.8,4,10.45,0,0.008589
mut_c7639f59,10,44.2,4,11.05,0,0.006538
rand_d9165bbf,9,40.56,4,10.14,0,0.008056
mut_287a1479,10,42.5,4,10.62,0,0.007934
mut_0178ee99,10,40.2,4,10.05,0,0.010385
rand_87640076,9,41.44,4,10.36,0,0.007257
mut_c6f60c16,10,42.9,4,10.72,0,0.007579
rand_eeebbc67,10,44.4,4,11.1,0,0.006396
mut_60e58d5a,10,42.9,4,10.72,0,0.007579
rand_1146dd9d,10,32.9,3,10.97,0,0.009035
mut_ca052a76,10,45.3,4,11.32,0,0.00581
mut_7ffec3a4,10,35.4,3,11.8,0,0.006339
rand_5e284264,10,42.7,4,10.68,0,0.007726
rand_413eedb6,10,42.0,4,10.5,0,0.008391
mut_d28bd0b4,10,32.7,3,10.9,0,0.009319
rand_bf54cdd7,10,41.8,4,10.45,0,0.008589
mut_ad8008a9,10,42.8,4,10.7,0,0.007652
rand_f82a5b1c,10,44.9,4,11.22,0,0.006067
rand_150aff4c,10,44.4,4,11.1,0,0.006396
rand_b75e8bca,10,35.2,3,11.73,0,0.006522
rand_1c48c857,10,42.0,4,10.5,0,0.008391
rand_dd39a501,10,42.7,4,10.68,0,0.007726
mut_ec3bbab3,10,44.3,4,11.07,0,0.006478
mut_ba8d0b1b,10,39.1,4,9.78,0,0.011845
mut_f044f647,10,32.6,3,10.87,0,0.009448
mut_03349dd5,10,37.9,4,9.47,0,0.013777
mut_baf6f8ab,10,47.2,5,9.44,0,0.011192
rand_51b8f267,10,38.9,4,9.72,0,0.012185
rand_330b09e3,10,41.6,4,10.4,0,0.008792
rand_111b762f,10,39.3,4,9.82,0,0.011604
rand_032ede99,10,37.0,3,12.33,0,0.005137
rand_2db7e9d9,10,39.4,4,9.85,0,0.011441
rand_48fc1486,10,44.2,4,11.05,0,0.006538
rand_14e4f311,10,44.8,4,11.2,0,0.006122
mut_0079aced,10,39.0,4,9.75,0,0.012013
mut_cf95134b,10,41.8,4,10.45,0,0.008589
mut_063b248c,10,41.6,4,10.4,0,0.008792
rand_eb79856c,10,43.1,4,10.78,0,0.007381
rand_e63e85c4,10,33.8,3,11.27,0,0.007921
rand_775e655c,10,49.7,5,9.94,0,0.008761
rand_670c9d2f,9,36.0,3,12.0,0,0.004737
mut_2fbf8d17,10,34.6,3,11.53,0,0.007087
mut_53e4b083,10,52.7,5,10.54,0,0.006589
rand_66acfd7c,10,41.4,4,10.35,0,0.009002
mut_a6432408,10,49.1,5,9.82,0,0.009288
rand_b60321e2,10,37.6,3,12.53,0,0.00476
mut_c27b7530,10,33.5,3,11.17,0,0.008273
mut_7575b0ae,10,42.0,4,10.5,0,0.008391
mut_3d0bb21f,10,47.1,5,9.42,0,0.011303
rand_4f3c8b08,10,41.5,4,10.38,0,0.00888
mut_092dbfe9,10,34.8,3,11.6,0,0.006884
rand_0d386a50,10,45.0,5,9.0,0,0.013889
rand_259db5a6,10,42.7,4,10.68,0,0.007726
rand_22000b92,10,49.0,5,9.8,0,0.009379
mut_7e10daf7,10,35.3,4,8.82,0,0.018925
mut_decc14e5,10,50.2,5,10.04,0,0.008348
rand_e3eba6ca,10,36.4,3,12.13,0,0.005553
rand_9cac198b,7,39.57,4,9.89,0,0.005497
mut_18cbcbde,10,41.8,4,10.45,0,0.008589
rand_bbda891d,10,42.3,4,10.57,0,0.008119
mut_fbbd597b,10,44.8,4,11.2,0,0.006122
rand_a84ea527,10,43.6,4,10.9,0,0.006989
rand_058c62de,10,42.6,4,10.65,0,0.007829
mut_283de415,10,44.7,4,11.18,0,0.006178
mut_bf1351a7,10,43.0,4,10.75,0,0.007479
mut_15bf8d62,10,40.8,4,10.2,0,0.009665
mut_0c7c374e,10,54.2,5,10.84,0,0.005744
rand_f49affb9,10,50.2,5,10.04,0,0.008348
mut_671be95c,10,39.9,4,9.97,0,0.010788
mut_98920c62,10,44.6,4,11.15,0,0.006257
rand_53757006,18,38.33,4,9.58,0,0.013055
mut_e7684993,20,44.5,4,11.12,0,0.006337
rand_0090392e,20,41.75,4,10.44,0,0.008631
mut_ee6702a0,20,42.8,4,10.7,0,0.007652
rand_1002dff0,20,40.6,4,10.15,0,0.009898
mut_5a022f1c,20,49.5,4,12.38,0,0.003782
mut_391c27be,20,36.2,3,12.07,0,0.005689
rand_49ded01a,20,34.75,3,11.58,0,0.00694
mut_d8be3e2d,20,41.55,4,10.39,0,0.008836
rand_a1c61f82,20,49.25,5,9.85,0,0.009153
rand_310ca09b,20,41.65,4,10.41,0,0.008749
rand_7ca1cdfe,20,44.8,5,8.96,0,0.014161
mut_15f62c13,20,34.75,3,11.58,0,0.00694
rand_a01c7b7d,20,43.05,4,10.76,0,0.007444
rand_8ac54619,19,34.42,3,11.47,0,0.007268
mut_14d47932,20,44.75,4,11.19,0,0.00615
mut_1581c887,20,45.0,4,11.25,0,0.005991
rand_f60e26ba,20,43.45,4,10.86,0,0.007114
rand_b297235a,20,39.8,4,9.95,0,0.010899
mut_f4e76e38,20,46.1,5,9.22,0,0.012472
mut_d08b26cb,20,49.05,5,9.81,0,0.009333
mut_4152069c,20,41.55,4,10.39,0,0.008836
mut_554e2cae,19,37.84,4,9.46,0,0.013853
rand_eef75f50,20,41.3,4,10.32,0,0.009125
mut_49dba4c6,20,34.0,3,11.33,0,0.007715
rand_0c220593,15,38.47,3,12.82,0,0.004275
mut_aa780be6,20,44.05,4,11.01,0,0.006653
rand_701ca774,20,46.8,5,9.36,0,0.011642
rand_81ac95b2,20,42.1,4,10.53,0,0.008279
rand_b2b4b43a,20,42.65,4,10.66,0,0.007791
mut_928c1e94,19,40.84,4,10.21,0,0.009619
mut_f0c67c29,20,43.5,4,10.88,0,0.007056
mut_7ebb34eb,20,42.9,4,10.72,0,0.007579
rand_4763259d,20,43.95,4,10.99,0,0.006716
rand_8f70682a,17,34.94,3,11.65,0,0.006745
rand_59f773b1,20,46.05,5,9.21,0,0.012533
mut_c3f7ddbf,19,34.68,4,8.67,0,0.02033
mut_cff55a38,20,36.75,3,12.25,0,0.0053
rand_370fcbc5,20,40.05,4,10.01,0,0.010584
rand_2fd01cc7,20,47.75,5,9.55,0,0.010602
mut_309bcf6a,19,35.16,3,11.72,0,0.006551
mut_6c25bd0a,20,44.0,4,11.0,0,0.006684
rand_cca8cd51,20,40.7,4,10.18,0,0.009762
mut_ec5efa2d,20,43.65,4,10.91,0,0.006957
mut_288d3ea4,20,34.1,3,11.37,0,0.007588
mut_bd53b0cc,20,40.4,4,10.1,0,0.010138
rand_0f3bf4f6,4,0.0,3,0.0,0,0.0
rand_ff3ec7f3,20,44.65,4,11.16,0,0.006228
mut_2fbd67a4,20,41.4,4,10.35,0,0.009002
rand_1cd7eb6f,18,36.44,3,12.15,0,0.005512
rand_3cd4c9b6,20,34.15,3,11.38,0,0.007552
mut_a07c041b,20,48.4,5,9.68,0,0.009946
rand_c8ab696d,18,35.11,3,11.7,0,0.006603
rand_a82df225,20,39.6,4,9.9,0,0.011166
rand_0113aafe,20,43.75,5,8.75,0,0.015662
mut_6a6f67bd,20,41.45,4,10.36,0,0.008957
mut_2e665e11,20,34.3,3,11.43,0,0.007393
rand_3b84e07c,20,42.5,4,10.62,0,0.007934
rand_acc34b48,20,35.4,3,11.8,0,0.006339
mut_f09eb519,20,33.8,3,11.27,0,0.007921
rand_ae09fbf2,20,40.8,4,10.2,0,0.009665
rand_f45f07ec,20,34.3,3,11.43,0,0.007393
mut_3a23c8cc,20,35.7,3,11.9,0,0.006087
mut_2be83a2b,20,41.9,4,10.47,0,0.008505
rand_16b1f91e,20,36.7,3,12.23,0,0.00534
mut_d4286838,19,44.63,4,11.16,0,0.006231
mut_779e8df2,20,43.1,4,10.78,0,0.007381
mut_3f530e0e,20,40.75,4,10.19,0,0.009713
rand_755b188c,20,43.15,4,10.79,0,0.007346
rand_a820de80,20,33.7,3,11.23,0,0.008055
mut_1d2d3243,20,44.3,4,11.07,0,0.006478
rand_213cc566,20,43.05,4,10.76,0,0.007444
rand_957417d8,20,50.25,5,10.05,0,0.008308
rand_f392d5e0,9,34.0,3,11.33,0,0.006249
rand_981f3ca2,8,38.5,4,9.62,0,0.00819
