method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
mut_b00579bb,20,42.45,6,7.08,18,0.023535
rand_2ffec912,29,33.79,3,11.26,0,0.007951
mut_c71815d8,10,33.7,3,11.23,0,0.008055
rand_adf02c35,10,40.2,4,10.05,0,0.010385
rand_be64bb18,10,37.3,3,12.43,0,0.004944
rand_23d24224,10,40.5,4,10.12,0,0.010036
mut_c7fafa70,10,45.0,4,11.25,0,0.005991
rand_2133b62a,10,43.4,4,10.85,0,0.007148
rand_8730bf16,10,42.6,4,10.65,0,0.007829
mut_b7ab6ffe,10,43.8,4,10.95,0,0.006835
mut_cf665a5d,10,47.0,5,9.4,0,0.011414
rand_7000a5b1,10,39.9,4,9.97,0,0.010788
rand_b646ad66,10,38.6,4,9.65,0,0.012617
mut_73d6bde8,10,43.1,4,10.78,0,0.007381
mut_5152ecd4,10,41.6,4,10.4,0,0.008792
rand_2d2dd76e,10,47.7,5,9.54,0,0.010654
rand_52050afc,10,41.1,4,10.28,0,0.009309
mut_77a8d01d,10,40.5,4,10.12,0,0.010036
rand_41ecbdd3,10,45.7,5,9.14,0,0.012971
mut_085837f3,10,46.0,5,9.2,0,0.012595
mut_a7a2b614,10,34.4,3,11.47,0,0.007273
rand_6f4454f5,10,50.0,5,10.0,0,0.008511
rand_23fab2b7,10,41.3,4,10.32,0,0.009125
rand_01fc5d20,10,42.9,4,10.72,0,0.007579
rand_1a254b23,10,52.1,6,8.68,0,0.013485
rand_0ae97be4,9,40.67,4,10.17,0,0.007943
rand_c2547862,10,41.9,4,10.47,0,0.008505
mut_0f43bd1e,10,39.9,4,9.97,0,0.010788
rand_5bf065aa,10,39.4,4,9.85,0,0.011441
mut_b0c42b4f,10,49.8,5,9.96,0,0.008677
mut_1b8bafda,10,46.6,5,9.32,0,0.011873
rand_a7890f59,9,39.78,4,9.95,0,0.008832
mut_02a98281,10,38.8,4,9.7,0,0.012311
mut_ad08b251,10,48.5,5,9.7,0,0.009849
rand_1be51626,10,42.8,5,8.56,0,0.017116
mut_42a02c91,10,46.2,5,9.24,0,0.01235
rand_67f52555,10,42.8,4,10.7,0,0.007652
mut_8f62cf22,10,41.5,4,10.38,0,0.00888
mut_830f10bf,10,42.4,4,10.6,0,0.008011
rand_74cabf35,10,34.1,3,11.37,0,0.007588
mut_bd21c48b,10,52.4,5,10.48,0,0.006776
mut_83183dac,10,42.7,4,10.68,0,0.007726
mut_992184cd,10,44.1,4,11.03,0,0.006599
mut_e40b6324,10,45.2,4,11.3,0,0.005863
rand_d4652202,10,45.4,4,11.35,0,0.005738
mut_eb26c74b,10,40.2,4,10.05,0,0.010385
mut_2070b15f,10,45.5,4,11.38,0,0.005668
mut_2b853c94,10,42.1,4,10.53,0,0.008279
mut_e61e78eb,10,41.0,4,10.25,0,0.009438
mut_dd0a1a05,10,34.5,3,11.5,0,0.007179
rand_a57f5011,10,42.1,4,10.53,0,0.008279
mut_c25ba5fc,10,44.6,4,11.15,0,0.006257
rand_1b31f486,10,44.1,4,11.03,0,0.006599
rand_37cb10a1,10,41.2,4,10.3,0,0.009217
mut_2164f662,10,43.6,5,8.72,0,0.015886
mut_726ae340,10,40.6,4,10.15,0,0.009898
mut_306c2cbd,10,42.0,4,10.5,0,0.008391
rand_68536b41,10,39.2,4,9.8,0,0.011723
rand_4b700d9a,10,49.4,5,9.88,0,0.00902
mut_4a82f4a1,10,42.9,4,10.72,0,0.007579
mut_fd3a676f,10,38.6,4,9.65,0,0.012617
mut_7457c9c3,10,40.8,4,10.2,0,0.009665
mut_e87025d9,10,48.8,5,9.76,0,0.009564
rand_9e1a48fc,9,33.89,3,11.3,0,0.006334
rand_a581a75d,10,44.1,4,11.03,0,0.006599
rand_bea4b9ed,10,33.2,3,11.07,0,0.008644
rand_a8baa077,10,36.1,3,12.03,0,0.005777
mut_ae76faf2,10,43.7,4,10.93,0,0.006899
mut_3bb07f77,10,45.9,4,11.47,0,0.005451
rand_fbccc220,10,42.3,4,10.57,0,0.008119
rand_b537576b,10,42.6,4,10.65,0,0.007829
mut_8d0ba881,10,39.0,4,9.75,0,0.012013
rand_cdb1ae43,10,40.4,4,10.1,0,0.010138
rand_b9d4ec7e,10,41.9,4,10.47,0,0.008505
mut_07f60b59,10,44.8,4,11.2,0,0.006122
rand_c91bebc5,10,43.5,4,10.88,0,0.007056
rand_ba7668b2,8,36.75,4,9.19,0,0.010128
rand_85965ced,10,44.1,4,11.03,0,0.006599
rand_26beb2fe,10,40.3,4,10.07,0,0.01028
mut_83b5e09f,9,44.67,4,11.17,0,0.005025
mut_030aae78,10,36.5,3,12.17,0,0.005469
mut_97fff577,10,42.8,4,10.7,0,0.007652
rand_af21b011,10,34.9,3,11.63,0,0.006797
mut_6253d798,10,40.4,4,10.1,0,0.010138
mut_d95e59e0,10,46.5,4,11.62,0,0.005118
rand_73fab4f8,10,48.6,5,9.72,0,0.009753
rand_0c3a9840,10,47.8,5,9.56,0,0.01055
rand_ca16fb53,10,42.2,4,10.55,0,0.008198
mut_20654c2e,9,41.0,4,10.25,0,0.007644
rand_44df08ec,10,42.2,5,8.44,0,0.018075
rand_bc31ba21,7,40.71,4,10.18,0,0.004782
rand_b089e74e,10,46.0,5,9.2,0,0.012595
rand_472c54bf,10,45.4,4,11.35,0,0.005738
mut_b5cf4a8e,10,34.8,3,11.6,0,0.006884
mut_cc609402,10,34.9,3,11.63,0,0.006797
rand_3651852f,10,41.1,4,10.28,0,0.009309
